"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2022","128.10","133.65","133.65","128.10","0.25K","-4.44%"
"03/22/2022","134.05","136.75","136.75","133.50","2.27K","-2.15%"
"03/21/2022","137.00","137.30","139.00","137.00","2.19K","-2.35%"
"03/17/2022","140.30","142.25","142.25","138.65","3.65K","2.33%"
"03/16/2022","137.10","137.10","137.10","137.10","0.01K","1.78%"
"03/15/2022","134.70","130.35","134.70","130.35","0.50K","-0.44%"
"03/14/2022","135.30","140.35","140.35","132.65","0.42K","-4.38%"
"03/11/2022","141.50","141.70","141.70","140.75","0.36K","3.32%"
"03/10/2022","136.95","140.30","144.60","135.05","0.78K","-4.23%"
"03/09/2022","143.00","141.70","149.80","141.70","4.79K","2.14%"
"03/08/2022","140.00","132.80","140.00","132.80","7.25K","15.61%"
"03/07/2022","121.10","115.25","121.10","115.25","2.39K","3.64%"
"03/04/2022","116.85","117.60","119.10","116.85","2.15K","-7.81%"
"03/02/2022","126.75","127.25","127.95","125.40","12.51K","0.96%"
"03/01/2022","125.55","125.55","125.55","125.55","0.04K","0.36%"
"02/28/2022","125.10","114.50","125.30","114.50","0.83K","5.57%"
"02/25/2022","118.50","115.00","119.50","112.65","0.48K","11.06%"
"02/24/2022","106.70","108.00","111.85","106.40","4.69K","-6.73%"
"02/23/2022","114.40","117.00","117.00","114.40","0.52K","2.14%"
"02/22/2022","112.00","115.80","115.90","112.00","0.81K","-5.64%"
"02/21/2022","118.70","119.65","119.90","117.45","0.09K","-0.17%"
"02/18/2022","118.90","125.20","126.45","118.85","0.43K","-5.18%"
"02/17/2022","125.40","123.05","125.40","123.05","0.23K","3.25%"
"02/16/2022","121.45","121.95","122.70","121.30","0.30K","-0.21%"
"02/15/2022","121.70","121.40","121.70","121.15","0.12K","3.35%"
"02/14/2022","117.75","120.00","120.00","116.75","1.11K","-3.09%"
"02/11/2022","121.50","120.35","121.90","120.35","1.37K","0.75%"
"02/10/2022","120.60","126.40","126.40","120.60","0.53K","-3.75%"
"02/09/2022","125.30","125.45","126.60","125.00","0.72K","4.07%"
"02/08/2022","120.40","124.45","124.45","119.55","0.79K","-3.37%"
"02/07/2022","124.60","124.60","124.60","124.60","0.71K","7.55%"
"02/04/2022","115.85","120.00","120.00","115.85","6.00K","-4.26%"
"02/03/2022","121.00","125.00","129.30","121.00","24.73K","-6.85%"
"02/02/2022","129.90","130.60","130.60","129.90","0.63K","-0.35%"
"02/01/2022","130.35","132.50","132.50","130.35","5.93K","-1.77%"
"01/31/2022","132.70","132.70","132.70","132.70","0.01K","4.00%"
"01/28/2022","127.60","123.65","127.60","123.65","2.40K","0.00%"
"01/27/2022","127.60","126.00","130.30","126.00","0.70K","-0.51%"
"01/26/2022","128.25","128.00","128.85","126.45","0.21K","1.46%"
"01/25/2022","126.40","127.90","127.90","124.25","0.74K","0.24%"
"01/24/2022","126.10","134.00","134.00","125.10","0.75K","-7.92%"
"01/21/2022","136.95","136.75","139.60","136.75","2.19K","-1.97%"
"01/20/2022","139.70","135.00","140.80","135.00","3.41K","5.31%"
"01/19/2022","132.65","132.40","132.85","128.85","11.46K","-0.38%"
"01/18/2022","133.15","136.35","136.35","133.15","0.48K","-3.16%"
"01/17/2022","137.50","138.70","138.70","137.50","0.86K","-0.36%"
"01/14/2022","138.00","138.95","138.95","137.00","0.55K","-0.72%"
"01/13/2022","139.00","138.85","140.75","138.85","0.25K","-1.14%"
"01/12/2022","140.60","139.10","140.60","138.30","1.17K","1.33%"
"01/11/2022","138.75","138.50","138.85","138.50","0.30K","2.78%"
"01/10/2022","135.00","139.90","140.70","135.00","1.74K","-3.64%"
"01/07/2022","140.10","138.30","140.45","138.30","1.71K","-11.02%"
"01/05/2022","157.45","153.15","157.45","152.35","24.33K","-1.29%"
"01/04/2022","159.50","161.15","161.15","159.50","0.32K","1.85%"
"01/03/2022","156.60","156.90","156.90","156.60","0.00K","3.09%"
"12/30/2021","151.90","148.05","151.90","148.05","0.16K","4.83%"
"12/29/2021","144.90","148.30","151.30","144.90","1.44K","-4.32%"
"12/28/2021","151.45","155.30","155.30","151.45","0.22K","-3.04%"
"12/27/2021","156.20","156.20","156.20","156.20","0.08K","1.56%"
"12/23/2021","153.80","155.60","156.25","153.80","2.07K","0.85%"
"12/22/2021","152.50","152.00","153.85","152.00","0.26K","0.43%"
"12/21/2021","151.85","149.90","156.95","149.90","0.29K","2.81%"
"12/20/2021","147.70","146.70","147.70","145.00","1.20K","0.72%"
"12/17/2021","146.65","146.55","146.65","146.55","0.11K","0.41%"
"12/16/2021","146.05","150.00","153.20","146.05","1.45K","4.17%"
"12/15/2021","140.20","142.00","142.00","139.20","0.50K","-0.28%"
"12/14/2021","140.60","140.60","140.60","140.60","0.49K","-2.02%"
"12/13/2021","143.50","143.25","143.50","143.25","0.77K","-1.58%"
"12/10/2021","145.80","145.80","145.80","145.80","0.20K","-0.65%"
"12/09/2021","146.75","150.00","150.00","146.75","6.45K","-2.10%"
"12/08/2021","149.90","149.90","149.90","149.90","2.42K","-0.03%"
"12/07/2021","149.95","149.95","149.95","149.95","8.99K","0.84%"
"12/06/2021","148.70","147.00","148.70","146.70","0.29K","-2.33%"
"12/03/2021","152.25","152.15","152.40","152.15","0.11K","-3.18%"
"12/01/2021","157.25","156.60","158.15","155.30","0.45K","-0.63%"
"11/30/2021","158.25","157.95","158.25","157.20","0.26K","-3.86%"
"11/29/2021","164.60","162.10","164.60","160.00","2.00K","2.01%"
"11/26/2021","161.35","162.50","162.50","161.10","1.10K","0.06%"
"11/25/2021","161.25","158.85","161.25","157.75","0.72K","3.60%"
"11/24/2021","155.65","155.70","155.70","154.45","0.28K","-2.44%"
"11/23/2021","159.55","155.50","159.55","154.30","0.33K","-1.21%"
"11/22/2021","161.50","163.25","163.25","161.50","1.08K","-1.64%"
"11/19/2021","164.20","170.95","170.95","163.50","0.91K","-4.76%"
"11/18/2021","172.40","174.65","175.50","172.40","0.03K","-1.60%"
